"OP_UNIQUE_CARRIER","TAIL_NUM"
"AA","N798AA"
"AA","N791AA"
"AA","N850AA"
"AA","N789AA"
"AA","N793AA"
"AA","N795AA"
"AA","N785AA"
"AA","N796AA"
"AA","N783AA"
"AA","N794AA"
"AA","N797AA"
"AA","N784AA"
"AA","N790AA"
"AA","N788AA"
"AA","N799AA"
"AA","N792AA"
"AA","N786AA"
"AA","N787AA"
"AA","N5FMAA"
"AA","N398AA"
"AA","N349AA"
"AA","N347AA"
"AA","N399AA"
"AA","N387AA"
"AA","N343AA"
"AA","N395AA"
"AA","N376AA"
"AA","N346AA"
"AA","N389AA"
"AA","N350AA"
"AA","N388AA"
"AA","N393AA"
"AA","N397AA"
"AA","N377AA"
"AA","N379AA"
"AA","N373AA"
"AA","N380AA"
"AA","N391AA"
"AA","N4YDAA"
"AA","N4XUAA"
"AA","N548AA"
"AA","N438AA"
"AA","N4XEAA"
"AA","N4XYAA"
"AA","N425AA"
"AA","N4XTAA"
"AA","N4XWAA"
"AA","N550AA"
"AA","N4XKAA"
"AA","N4YFAA"
"AA","N4YAAA"
"AA","N434AA"
"AA","N4YNAA"
"AA","N4XFAA"
"AA","N4YRAA"
"AA","N502AA"
"AA","N369AA"
"AA","N383AA"
"AA","N342AA"
"AA","N390AA"
"AA","N853AA"
"AA","N855AA"
"AA","N858AA"
"AA","N863AA"
"AA","N854AA"
"AA","N856AA"
"AA","N860AA"
"AA","N898AA"
"AA","N7BYAA"
"AA","N381AA"
"AA","N5EVAA"
"AA","N5FTAA"
"AA","N5FCAA"
"AA","N5FRAA"
"AA","N5FFAA"
"AA","N5EWAA"
"AA","N5FJAA"
"AA","N5FKAA"
"AA","N5DJAA"
"AA","N5FGAA"
"AA","N5EUAA"
"AA","N5FEAA"
"AA","N5FSAA"
"AA","N5FLAA"
"AA","N5FHAA"
"AA","N5FAAA"
"AA","N5FNAA"
"AA","N5EYAA"
"AA","N7AXAA"
"AA","N895AA"
"AA","N3MGAA"
"AA","N3CJAA"
"AA","N3BHAA"
"AA","N3CLAA"
"AA","N3ACAA"
"AA","N3KFAA"
"AA","N3DWAA"
"AA","N3BLAA"
"AA","N3CYAA"
"AA","N3FAAA"
"AA","N3FRAA"
"AA","N3EVAA"
"AA","N3FMAA"
"AA","N3NMAA"
"AA","N3DMAA"
"AA","N3JKAA"
"AA","N3BYAA"
"AA","N3BBAA"
"AA","N3GMAA"
"AA","N3LEAA"
"AA","N3GAAA"
"AA","N3HYAA"
"AA","N3CNAA"
"AA","N3DDAA"
"AA","N3CRAA"
"AA","N3HLAA"
"AA","N3HAAA"
"AA","N3HUAA"
"AA","N3HBAA"
"AA","N3HGAA"
"AA","N3KLAA"
"AA","N3NGAA"
"AA","N3LXAA"
"AA","N3LGAA"
"AA","N5EPAA"
"AA","N3MPAA"
"AA","N3KSAA"
"AA","N3FKAA"
"AA","N3ATAA"
"AA","N3ANAA"
"AA","N5EAAA"
"AA","N3PCAA"
"AA","N3MDAA"
"AA","N3DSAA"
"AA","N3FPAA"
"AA","N3MHAA"
"AA","N5ENAA"
"AA","N3MWAA"
"AA","N3LUAA"
"AA","N3CEAA"
"AA","N3CTAA"
"AA","N3APAA"
"AA","N3MRAA"
"AA","N851AA"
"AA","N857AA"
"AA","N861AA"
"AA","N865AA"
"AA","N864AA"
"AA","N3AWAA"
"AA","N017AA"
"AA","N024AA"
"AA","N5EJAA"
"AA","N3AYAA"
"AA","N3KUAA"
"AA","N3GYAA"
"AA","N3GFAA"
"AA","N3JGAA"
"AA","N3NTAA"
"AA","N899AA"
"AA","N3NXAA"
"AA","N3DCAA"
"AA","N3JJAA"
"AA","N3EKAA"
"AA","N3HJAA"
"AA","N866AA"
"AA","N3LMAA"
"AA","N3CKAA"
"AA","N3FGAA"
"AA","N3FDAA"
"AA","N3CMAA"
"AA","N997AA"
"AA","N3JPAA"
"AA","N3FLAA"
"AA","N3AXAA"
"AA","N3HVAA"
"AA","N3DFAA"
"AA","N932AA"
"AA","N3BRAA"
"AA","N3MVAA"
"AA","N3DLAA"
"AA","N3CFAA"
"AA","N3JDAA"
"AA","N3FHAA"
"AA","N3DAAA"
"AA","N3JUAA"
"AA","N3NYAA"
"AA","N3MMAA"
"AA","N3NVAA"
"AA","N3MBAA"
"AA","N3DXAA"
"AA","N3JEAA"
"AA","N3ARAA"
"AA","N3DYAA"
"AA","N3LRAA"
"AA","N3NDAA"
"AA","N3HFAA"
"AA","N3CSAA"
"AA","N3JWAA"
"AA","N3BWAA"
"AA","N3MAAA"
"AA","N3GHAA"
"AA","N3BNAA"
"AA","N3NFAA"
"AA","N3CHAA"
"AA","N3AFAA"
"AA","N3KGAA"
"AA","N3DHAA"
"AA","N3MJAA"
"AA","N3DUAA"
"AA","N3JTAA"
"AA","N3GXAA"
"AA","N3LSAA"
"AA","N3MCAA"
"AA","N3HTAA"
"AA","N3LNAA"
"AA","N3BAAA"
"AA","N3GUAA"
"AA","N3JCAA"
"AA","N3CDAA"
"AA","N3LLAA"
"AA","N4XMAA"
"AA","N3DBAA"
"AA","N3NRAA"
"AA","N3NHAA"
"AA","N547AA"
"AA","N3BMAA"
"AA","N3MXAA"
"AA","N3GKAA"
"AA","N3BKAA"
"AA","N3LDAA"
"AA","N3FCAA"
"AA","N3EWAA"
"AA","N3KMAA"
"AA","N3DTAA"
"AA","N3NNAA"
"AA","N3EXAA"
"AA","N3NSAA"
"AA","N3GGAA"
"AA","N3EMAA"
"AA","N3AGAA"
"AA","N3DVAA"
"AA","N3MUAA"
"AA","N3LHAA"
"AA","N3JVAA"
"AA","N3LWAA"
"AA","N3KVAA"
"AA","N3CUAA"
"AA","N3GEAA"
"AA","N3FJAA"
"AA","N3CPAA"
"AA","N3FEAA"
"AA","N3AUAA"
"AA","N3EEAA"
"AA","N3LBAA"
"AA","N3HSAA"
"AA","N3ASAA"
"AA","N3LTAA"
"AA","N3JAAA"
"AA","N501AA"
"AA","N541AA"
"AA","N4XRAA"
"AA","N4YEAA"
"AA","N566AA"
"AA","N4YBAA"
"AA","N437AA"
"AA","N514AA"
"AA","N439AA"
"AA","N4UBAA"
"AA","N494AA"
"AA","N4XDAA"
"AA","N4XJAA"
"AA","N4XVAA"
"AA","N4YTAA"
"AA","N4YPAA"
"AA","N4WNAA"
"AA","N4YCAA"
"AA","N4XBAA"
"AA","N4YSAA"
"AA","N590AA"
"AA","N4XPAA"
"AA","N4XXAA"
"AA","N4XHAA"
"AA","N555AA"
"AA","N4XLAA"
"AA","N4XCAA"
"AA","N4YLAA"
"AA","N881AA"
"AA","N4YUAA"
"AA","N3MLAA"
"AA","N3MEAA"
"AA","N3GNAA"
"AA","N3NEAA"
"AA","N3HKAA"
"AA","N3NLAA"
"AA","N3LYAA"
"AA","N3NPAA"
"AA","N3JRAA"
"AA","N3FFAA"
"AA","N3DPAA"
"AA","N3KRAA"
"AA","N3ELAA"
"AA","N3GVAA"
"AA","N3GPAA"
"AA","N3DEAA"
"AA","N3KCAA"
"AA","N3PAAA"
"AA","N3BSAA"
"AA","N3JSAA"
"AA","N3KXAA"
"AA","N3GBAA"
"AA","N3EYAA"
"AA","N3ADAA"
"AA","N993AA"
"AA","N878AA"
"AA","N869AA"
"AA","N933AA"
"AA","N892AA"
"AA","N991AA"
"AA","N891AA"
"AA","N897AA"
"AA","N868AA"
"AA","N889AA"
"AA","N873AA"
"AA","N990AA"
"AA","N998AA"
"AA","N931AA"
"AA","N882AA"
"AA","N876AA"
"AA","N862AA"
"AA","N3NAAA"
"AA","N992AA"
"AA","N888AA"
"AA","N894AA"
"AA","N930AA"
"AA","N880AA"
"AA","N929AA"
"AA","N884AA"
"AA","N871AA"
"AA","N896AA"
"AA","N875AA"
"AA","N986AA"
"AA","N879AA"
"AA","N996AA"
"AA","N988AA"
"AA","N5DVAA"
"AA","N5ELAA"
"AA","N5EHAA"
"AA","N5EKAA"
"AA","N396AA"
"AA","N7ATAA"
"AA","N7BAAA"
"AA","N877AA"
"AA","N885AA"
"AA","N874AA"
"AA","N890AA"
"AA","N887AA"
"AA","N987AA"
"AA","N994AA"
"AA","N893AA"
"AA","N995AA"
"AA","N7CBAA"
"AA","N394AA"
"AA","N5FBAA"
"AA","N4XGAA"
"AA","N7AYAA"
"AA","N3KWAA"
"AA","N385AA"
"AA","N3PEAA"
"AA","N384AA"
"AA","N5FPAA"
"AA","N344AA"
"AA","N886AA"
"AA","N870AA"
"AA","N867AA"
"AA","N883AA"
"AA","N928AA"
"AA","N852AA"
"AA","N900AA"
"AA","N3AMAA"
"AA","N3AAAA"
"AA","N3CAAA"
"AA","N3LAAA"
"AA","N3GCAA"
"AA","N859AA"
"AA","N3CVAA"
"AA","N3HNAA"
"AA","N3KTAA"
"AA","N3EBAA"
"AA","N3HXAA"
"AA","N3GDAA"
"AA","N3HWAA"
"AA","N3FSAA"
"AA","N3KKAA"
"AA","N3CCAA"
"AA","N3DNAA"
"AA","N3ESAA"
"AA","N3BGAA"
"AA","N3FVAA"
"AA","N3FXAA"
"AA","N3BPAA"
"AA","N3NUAA"
"AA","N3EPAA"
"AA","N3DRAA"
"AA","N3JHAA"
"AA","N3ALAA"
"AA","N3AEAA"
"AA","N3GTAA"
"AA","N3EGAA"
"AA","N3MYAA"
"AA","N3LVAA"
"AA","N3EFAA"
"AA","N3HPAA"
"AA","N3HMAA"
"AA","N3LKAA"
"AA","N3DGAA"
"AA","N3ECAA"
"AA","N3BDAA"
"AA","N3PDAA"
"AA","N3KPAA"
"AA","N3NKAA"
"AA","N3HCAA"
"AA","N3GLAA"
"AA","N3JLAA"
"AA","N3KAAA"
"AA","N3FYAA"
"AA","N3JBAA"
"AA","N3JNAA"
"AA","N3KHAA"
"AA","N3GJAA"
"AA","N3GSAA"
"AA","N3FUAA"
"AA","N016AA"
"AA","N031AA"
"AA","N012AA"
"AA","N014AA"
"AA","N007AA"
"AA","N019AA"
"AA","N013AA"
"AA","N004AA"
"AA","N008AA"
"AA","N011AA"
"AA","N029AA"
"AA","N002AA"
"AA","N030AA"
"AA","N032AA"
"AA","N003AA"
"AA","N005AA"
"AA","N009AA"
"AA","N3FNAA"
"AA","N3EJAA"
"AA","N3HRAA"
"AA","N3KBAA"
"AA","N3NWAA"
"AA","N3KDAA"
"AA","N3EAAA"
"AA","N3BVAA"
"AA","N3BJAA"
"AA","N3FWAA"
"AA","N3DJAA"
"AA","N3BXAA"
"AA","N3BEAA"
"AA","N3ABAA"
"AA","N5FDAA"
"AA","N3JXAA"
"AA","N3ENAA"
"AA","N3NCAA"
"AA","N3EHAA"
"AA","N3ETAA"
"AA","N872AA"
"AA","N3PFAA"
"AA","N3KYAA"
"AA","N3PBAA"
"AA","N3LJAA"
"AA","N3AHAA"
"AA","N3MFAA"
"AA","N3NBAA"
"AA","N3GWAA"
"AA","N989AA"
"AA","N3EUAA"
"AA","N3BFAA"
"AA","N3HEAA"
"AA","N3KJAA"
"AA","N3GRAA"
"AA","N3AVAA"
"AA","N3JMAA"
"AA","N3ERAA"
"AA","N3CBAA"
"AA","N3LCAA"
"AA","N015AA"
"AA","N001AA"
"AA","N018AA"
"AA","N010AA"
"AA","N021AA"
"AA","N022AA"
"AA","N023AA"
"AA","N006AA"
"AA","N3FTAA"
"AA","N3AJAA"
"AA","N3PGAA"
"AA","N3LFAA"
"AA","N3NJAA"
"AA","N3LPAA"
"AA","N3FBAA"
"AA","N3BUAA"
"AA","N513AA"
"AA","N426AA"
"AA","N424AA"
"AA","N3MNAA"
"AA","N3KEAA"
"AA","N4XSAA"
"AA","N3JFAA"
"AA","N3JYAA"
"AA","N5ESAA"
"AA","N5ERAA"
"AA","N5EXAA"
"AA","N3EDAA"
"AA","N3MKAA"
"AA","N3AKAA"
"AA","N3HHAA"
"AA","N348AA"
"AA","N7APAA"
"AA","N5ETAA"
"AA","N7AUAA"
"AA","N3CXAA"
"AA","N3BCAA"
"AA","N7LGAA"
"AA","N7LWAA"
"AA","N7LLAA"
"AA","N7LAAA"
"AA","N7LHAA"
"AA","N7LVAA"
"AA","N7LRAA"
"AA","N7LSAA"
"AA","N7LUAA"
"AA","N7LDAA"
"AA","N7LTAA"
"AA","N7LJAA"
"AA","N7AAAA"
