"ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC",
10135,1013503,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,
10140,1014003,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,
10141,1014104,30141,"ABR","Aberdeen, SD","SD","46","South Dakota",67,
10146,1014602,30146,"ABY","Albany, GA","GA","13","Georgia",34,
10154,1015403,30154,"ACK","Nantucket, MA","MA","25","Massachusetts",13,
10157,1015703,30157,"ACV","Arcata/Eureka, CA","CA","06","California",91,
10158,1015804,30158,"ACY","Atlantic City, NJ","NJ","34","New Jersey",21,
10165,1016504,30165,"ADK","Adak Island, AK","AK","02","Alaska",1,
10170,1017001,30070,"ADQ","Kodiak, AK","AK","02","Alaska",1,
10185,1018502,30185,"AEX","Alexandria, LA","LA","22","Louisiana",72,
10208,1020803,30208,"AGS","Augusta, GA","GA","13","Georgia",34,
10245,1024502,30245,"AKN","King Salmon, AK","AK","02","Alaska",1,
10257,1025702,30257,"ALB","Albany, NY","NY","36","New York",22,
10268,1026802,30268,"ALO","Waterloo, IA","IA","19","Iowa",61,
10279,1027903,30279,"AMA","Amarillo, TX","TX","48","Texas",74,
10299,1029904,30299,"ANC","Anchorage, AK","AK","02","Alaska",1,
10333,1033302,30333,"APN","Alpena, MI","MI","26","Michigan",43,
10372,1037203,30372,"ASE","Aspen, CO","CO","08","Colorado",82,
10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,
10408,1040803,30408,"ATW","Appleton, WI","WI","55","Wisconsin",45,
10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,
10431,1043103,30431,"AVL","Asheville, NC","NC","37","North Carolina",36,
10434,1043403,30434,"AVP","Scranton/Wilkes-Barre, PA","PA","42","Pennsylvania",23,
10469,1046902,30469,"AZO","Kalamazoo, MI","MI","26","Michigan",43,
10529,1052904,30529,"BDL","Hartford, CT","CT","09","Connecticut",11,
10551,1055102,30113,"BET","Bethel, AK","AK","02","Alaska",1,
10561,1056103,30561,"BFL","Bakersfield, CA","CA","06","California",91,
10577,1057703,30577,"BGM","Binghamton, NY","NY","36","New York",22,
10581,1058102,30581,"BGR","Bangor, ME","ME","23","Maine",12,
10590,1059004,30590,"IFP","Bullhead City, AZ","AZ","04","Arizona",81,
10599,1059904,30599,"BHM","Birmingham, AL","AL","01","Alabama",51,
10620,1062002,30620,"BIL","Billings, MT","MT","30","Montana",84,
10627,1062702,30627,"BIS","Bismarck/Mandan, ND","ND","38","North Dakota",66,
10631,1063104,30631,"BJI","Bemidji, MN","MN","27","Minnesota",63,
10666,1066602,30666,"BLI","Bellingham, WA","WA","53","Washington",93,
10685,1068502,30685,"BMI","Bloomington/Normal, IL","IL","17","Illinois",41,
10693,1069302,30693,"BNA","Nashville, TN","TN","47","Tennessee",54,
10713,1071302,30713,"BOI","Boise, ID","ID","16","Idaho",83,
10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts",13,
10731,1073103,30731,"BQK","Brunswick, GA","GA","13","Georgia",34,
10732,1073203,30732,"BQN","Aguadilla, PR","PR","72","Puerto Rico",3,
10739,1073905,30739,"BRD","Brainerd, MN","MN","27","Minnesota",63,
10747,1074702,30747,"BRO","Brownsville, TX","TX","48","Texas",74,
10754,1075403,30107,"BRW","Barrow, AK","AK","02","Alaska",1,
10779,1077902,30779,"BTM","Butte, MT","MT","30","Montana",84,
10781,1078103,30781,"BTR","Baton Rouge, LA","LA","22","Louisiana",72,
10785,1078502,30785,"BTV","Burlington, VT","VT","50","Vermont",16,
10792,1079204,30792,"BUF","Buffalo, NY","NY","36","New York",22,
10800,1080003,32575,"BUR","Burbank, CA","CA","06","California",91,
10821,1082104,30852,"BWI","Baltimore, MD","MD","24","Maryland",35,
10849,1084903,30849,"BZN","Bozeman, MT","MT","30","Montana",84,
10868,1086803,30868,"CAE","Columbia, SC","SC","45","South Carolina",37,
10874,1087402,30647,"CAK","Akron, OH","OH","39","Ohio",44,
10918,1091802,30918,"CDC","Cedar City, UT","UT","49","Utah",87,
10926,1092603,30913,"CDV","Cordova, AK","AK","02","Alaska",1,
10980,1098002,30980,"CHA","Chattanooga, TN","TN","47","Tennessee",54,
10990,1099003,30990,"CHO","Charlottesville, VA","VA","51","Virginia",38,
10994,1099402,30994,"CHS","Charleston, SC","SC","45","South Carolina",37,
11003,1100303,31003,"CID","Cedar Rapids/Iowa City, IA","IA","19","Iowa",61,
11013,1101303,31013,"CIU","Sault Ste. Marie, MI","MI","26","Michigan",43,
11042,1104203,30647,"CLE","Cleveland, OH","OH","39","Ohio",44,
11049,1104902,31049,"CLL","College Station/Bryan, TX","TX","48","Texas",74,
11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,
11066,1106603,31066,"CMH","Columbus, OH","OH","39","Ohio",44,
11076,1107602,31076,"CMX","Hancock/Houghton, MI","MI","26","Michigan",43,
11097,1109702,31097,"COD","Cody, WY","WY","56","Wyoming",88,
11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,
11111,1111102,32474,"COU","Columbia, MO","MO","29","Missouri",64,
11122,1112203,31122,"CPR","Casper, WY","WY","56","Wyoming",88,
11140,1114006,31140,"CRP","Corpus Christi, TX","TX","48","Texas",74,
11146,1114604,31146,"CRW","Charleston/Dunbar, WV","WV","54","West Virginia",39,
11150,1115003,31150,"CSG","Columbus, GA","GA","13","Georgia",34,
11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,
11203,1120302,30424,"CWA","Mosinee, WI","WI","55","Wisconsin",45,
11252,1125203,31252,"DAB","Daytona Beach, FL","FL","12","Florida",33,
11259,1125903,30194,"DAL","Dallas, TX","TX","48","Texas",74,
11267,1126702,31267,"DAY","Dayton, OH","OH","39","Ohio",44,
11278,1127803,30852,"DCA","Washington, DC","VA","51","Virginia",38,
11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,
11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,
11308,1130802,31308,"DHN","Dothan, AL","AL","01","Alabama",51,
11336,1133602,31336,"DLG","Dillingham, AK","AK","02","Alaska",1,
11337,1133703,31337,"DLH","Duluth, MN","MN","27","Minnesota",63,
11413,1141304,30285,"DRO","Durango, CO","CO","08","Colorado",82,
11423,1142304,31423,"DSM","Des Moines, IA","IA","19","Iowa",61,
11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,
11447,1144703,31447,"DVL","Devils Lake, ND","ND","38","North Dakota",66,
11471,1147103,31471,"EAU","Eau Claire, WI","WI","55","Wisconsin",45,
11481,1148102,31481,"ECP","Panama City, FL","FL","12","Florida",33,
11503,1150303,31503,"EGE","Eagle, CO","CO","08","Colorado",82,
11525,1152503,31525,"EKO","Elko, NV","NV","32","Nevada",85,
11537,1153703,31537,"ELM","Elmira/Corning, NY","NY","36","New York",22,
11540,1154003,30615,"ELP","El Paso, TX","TX","48","Texas",74,
11577,1157704,31577,"ERI","Erie, PA","PA","42","Pennsylvania",23,
11587,1158702,31587,"ESC","Escanaba, MI","MI","26","Michigan",43,
11603,1160302,31603,"EUG","Eugene, OR","OR","41","Oregon",92,
11612,1161204,31612,"EVV","Evansville, IN","IN","18","Indiana",42,
11617,1161706,31617,"EWN","New Bern/Morehead/Beaufort, NC","NC","37","North Carolina",36,
11618,1161802,31703,"EWR","Newark, NJ","NJ","34","New Jersey",21,
11624,1162402,31624,"EYW","Key West, FL","FL","12","Florida",33,
11630,1163002,31517,"FAI","Fairbanks, AK","AK","02","Alaska",1,
11637,1163703,31637,"FAR","Fargo, ND","ND","38","North Dakota",66,
11638,1163805,31638,"FAT","Fresno, CA","CA","06","California",91,
11641,1164102,31641,"FAY","Fayetteville, NC","NC","37","North Carolina",36,
11648,1164802,31648,"FCA","Kalispell, MT","MT","30","Montana",84,
11695,1169502,31695,"FLG","Flagstaff, AZ","AZ","04","Arizona",81,
11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,
11721,1172103,31721,"FNT","Flint, MI","MI","26","Michigan",43,
11775,1177502,31775,"FSD","Sioux Falls, SD","SD","46","South Dakota",67,
11778,1177801,31778,"FSM","Fort Smith, AR","AR","05","Arkansas",71,
11823,1182304,31823,"FWA","Fort Wayne, IN","IN","18","Indiana",42,
11865,1186502,31865,"GCC","Gillette, WY","WY","56","Wyoming",88,
11884,1188402,31884,"GEG","Spokane, WA","WA","53","Washington",93,
11898,1189802,31898,"GFK","Grand Forks, ND","ND","38","North Dakota",66,
11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,
11953,1195302,31953,"GNV","Gainesville, FL","FL","12","Florida",33,
11973,1197302,31973,"GPT","Gulfport/Biloxi, MS","MS","28","Mississippi",53,
11977,1197703,31977,"GRB","Green Bay, WI","WI","55","Wisconsin",45,
11980,1198002,31980,"GRI","Grand Island, NE","NE","31","Nebraska",65,
11982,1198202,31982,"GRK","Killeen, TX","TX","48","Texas",74,
11986,1198603,31986,"GRR","Grand Rapids, MI","MI","26","Michigan",43,
11995,1199502,31995,"GSO","Greensboro/High Point, NC","NC","37","North Carolina",36,
11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,
11997,1199702,31997,"GST","Gustavus, AK","AK","02","Alaska",1,
12003,1200302,31895,"GTF","Great Falls, MT","MT","30","Montana",84,
12007,1200702,30894,"GTR","Columbus, MS","MS","28","Mississippi",53,
12016,1201602,32016,"GUM","Guam, TT","TT","75","U.S. Pacific Trust Territories and Possessions",5,
12129,1212903,32129,"HIB","Hibbing, MN","MN","27","Minnesota",63,
12156,1215603,32156,"HLN","Helena, MT","MT","30","Montana",84,
12173,1217302,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,
12177,1217703,32177,"HOB","Hobbs, NM","NM","35","New Mexico",86,
12191,1219102,31453,"HOU","Houston, TX","TX","48","Texas",74,
12197,1219702,31703,"HPN","White Plains, NY","NY","36","New York",22,
12206,1220603,32206,"HRL","Harlingen/San Benito, TX","TX","48","Texas",74,
